"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
302,70,172400,"diesel",2143,150,22500,16875
303,76,99481,"diesel",1461,80,16460,12345
304,71,134870,"diesel",1598,100,17440,13080
305,73,175000,"diesel",2143,100,18900,14175
306,76,113000,"diesel",1461,80,13990,10492
307,71,154000,"diesel",2148,125,8490,6368
308,77,180000,"bencinski",1240,59,2300,1725
309,78,260000,"diesel",2663,74,1700,1275
310,79,48800,"bencinski",1198,59,7250,5438
311,80,210000,"diesel",1461,81,5800,4350
312,80,64172,"diesel",1598,96,15990,11992
313,79,107957,"diesel",1461,66,7990,5992
314,79,133000,"bencinski",1386,65,5490,4118
315,80,163000,"bencinski",1997,104,5990,4492
316,77,170000,"bencinski",1240,59,1390,1042
317,79,79000,"bencinski",1198,59,6990,5242
318,77,155000,"bencinski",1240,59,1290,968
319,78,258900,"diesel",2664,92,3300,2475
320,79,101000,"bencinski",1386,65,3990,2992
321,81,226300,"diesel",2488,126,7800,5850
322,77,120000,"bencinski",1240,59,2990,2242
323,77,201000,"diesel",1461,60,1950,1462
324,79,119957,"bencinski",1386,65,5250,3938
325,80,167434,"diesel",1994,110,8700,6525
326,82,222349,"diesel",2184,84,2750,2062
327,79,83000,"bencinski",1386,65,5700,4275
328,83,79900,"bencinski",1197,85,10500,7875
329,77,190000,"diesel",1461,48,1990,1492
330,83,85563,"bencinski",1618,140,9995,7496
331,82,140000,"diesel",2184,100,5700,4275
332,84,112000,"diesel",2488,140,14350,10762
333,80,55000,"bencinski",1197,85,15300,11475
334,80,86000,"diesel",1598,96,12990,9742
335,83,79000,"diesel",1461,81,9600,7200
336,85,170000,"bencinski",1497,72,1100,825
337,79,129000,"bencinski",1386,65,3600,2700
338,85,260000,"diesel",150,110,1000,750
339,80,88502,"diesel",1461,81,11500,8625
340,77,143000,"bencinski",1598,81,2850,2138
341,85,140000,"bencinski",1769,85,1590,1192
342,80,152000,"diesel",1461,81,14490,10868
343,77,251000,"diesel",1461,60,1500,1125
344,78,167507,"diesel",2664,92,6550,4912
345,80,93390,"diesel",1598,96,13499,10124
346,78,303000,"diesel",2663,73,1500,1125
347,77,179567,"diesel",1461,48,2100,1575
348,83,68809,"bencinski",1598,86,8290,6218
349,83,156463,"diesel",1461,81,8900,6675
350,86,169000,"diesel",1686,74,2860,2145
351,87,134874,"diesel",1598,88,11450,8588
352,88,189000,"bencinski",1796,90,2200,1650
353,87,251000,"diesel",1910,110,4990,3742
354,89,138000,"bencinski",1229,59,3000,2250
355,89,155000,"bencinski",1229,59,2555,1916
356,90,120000,"diesel",1686,96,11590,8692
357,87,190000,"diesel",1910,70,3600,2700
358,91,249735,"diesel",1686,74,2450,1838
359,91,138000,"diesel",1598,81,8650,6488
360,89,87000,"bencinski",1229,59,2300,1725
361,86,246000,"diesel",1686,74,1380,1035
362,92,159878,"bencinski",1796,92,2899,2174
363,91,196543,"diesel",1686,74,2999,2249
364,91,189000,"diesel",1686,96,6650,4988
365,92,198585,"bencinski",1364,66,2899,2174
366,91,141000,"bencinski",1598,85,6150,4612
367,91,95600,"bencinski",1600,85,5000,3750
368,91,172000,"diesel",17,74,7450,5588
369,93,230000,"diesel",1956,96,5390,4042
370,94,360000,"bencinski",2597,132,1250,938
371,91,97000,"bencinski",1364,66,2750,2062
372,91,30000,"bencinski",1399,110,16600,12450
373,91,199000,"diesel",1686,74,2750,2062
374,93,220000,"diesel",1956,118,5390,4042
375,93,188500,"diesel",1956,96,7700,5775
376,91,280000,"diesel",1686,81,2100,1575
377,86,25000,"bencinski",1364,88,11750,8812
378,89,123566,"diesel",1248,55,4822,3616
379,91,228000,"diesel",1910,88,3490,2618
380,95,164000,"diesel",1300,55,4200,3150
381,86,34000,"diesel",1686,81,8990,6742
382,91,216000,"diesel",1686,59,2400,1800
383,89,43000,"bencinski",1398,66,7590,5692
384,91,200000,"bencinski",1998,85,1000,750
385,93,106108,"diesel",1956,88,10450,7838
386,89,104334,"bencinski",1398,74,5990,4492
387,93,190700,"diesel",1956,88,9850,7388
388,87,131641,"diesel",1956,96,10990,8242
389,91,173000,"bencinski",1598,74,1890,1418
390,91,138000,"bencinski",1598,85,4999,3749
391,91,138000,"bencinski",1364,66,3290,2468
392,87,115000,"bencinski",1598,85,6050,4538
393,96,229000,"diesel",2700,150,2990,2242
394,97,240150,"diesel",1997,100,2690,2018
395,97,153000,"bencinski",1587,80,2090,1568
396,98,159000,"diesel",1560,68,5990,4492
397,99,201058,"diesel",1997,120,10000,7500
398,100,133450,"bencinski",1360,55,1450,1088
